name,description,link_url,image_url,manufacturer_id
29.5″W Lindsay 6 LT Chandelier | 139594,no description available.,https://2ndave.com/product/29-5w-lindsay-6-lt-chandelier-139594/,https://2ndave.com/wp-content/uploads/2022/12/139594.jpg,1261
29.75″L Alappuza Wall Sconce | 127547,"The Alappuza is a sleek linear wall sconce with rounded edges and sturdy frame featured in a Mirror Black finish and enhanced with a Statuario Idalight bottom diffuser. The sconce illuminates with 6 Customer supplied G9 JCD Halogen lamps. Handcrafted in the USA. Custom designs, finishes and sizes are available, as well as dimmable energy efficient lamping options such as LED. The sconce, which is nearly 30 inches in length, is UL and cUL listed for damp and dry locations.",https://2ndave.com/product/29-75l-alappuza-wall-sconce-127547/,https://2ndave.com/wp-content/uploads/2022/12/127547.jpg,1261
29″ Wide Anneau 6 Light Chandelier | 152738,"An eclectic design featuring interlocking rings of varying sizes that are featured in a Timeless Bronze finish. The chandelier is accented with six Tea Stained Glass shades for warm ambient lighting. Make a unique design statement for any room. Handcrafted by highly skilled artisans in our 180,000 square foot manufacturing facility in Yorkville, New York. Lens colors, metal finishes and sizes can be customized to meet your needs. UL and cUL listed for damp and dry locations.",https://2ndave.com/product/29-wide-anneau-6-light-chandelier-152738/,https://2ndave.com/wp-content/uploads/2022/12/152738.jpg,1261
29″ Wide Hacienda Pendant | 243120,no description available.,https://2ndave.com/product/29-wide-hacienda-pendant-243120/,https://2ndave.com/wp-content/uploads/2022/12/243120.jpg,1261
29″W Carousel Semi-Flushmount | 142780,"A classic savvy pendant that embodies sophistication and grace, this striking transitional styled ceiling fixture is the quintessential addition to anyresidential, hospitality or commercial space. Carousel features a Botticino Idalight diffuser which is complemented with garland accents, frame and hardware featured in a Cajun Spice finish. It will make a stunning design statement in nearly any room. Handcrafted in our Yorkville, NY manufacturing facility, this attractive fixture is available in custom sizes, styles, finishes and dimmable energy efficient lamping options such as LED. The 29-inch wide fixture is UL and cUL listed for dry and damp locations.",https://2ndave.com/product/29w-carousel-semi-flushmount-142780/,https://2ndave.com/wp-content/uploads/2022/12/142780.jpg,1261
3″ Wide Cilindro Pipette LED Wall Sconce | 198852,"The ADA Compliant Pipette wall sconce features a brilliant array of Clear Glass Rods. The rod diffusers are complemented with endcaps and hardware in an Oil Rubbed Bronze finish. Integral dimmable energy efficient LEDs provide dramatic beams of ambient illumination. Lens colors, metal finishes and sizes can be customized to your needs. UL and cUL listed for dry and damp locations.",https://2ndave.com/product/3-wide-cilindro-pipette-led-wall-sconce-198852/,https://2ndave.com/wp-content/uploads/2022/12/198852.jpg,1261
3″ Wide Primitive Wall Sconce | 110212,"A traditional single candlelight design is featured on this unique Gothic styled wall plate. This Primitive wall sconce showcases a decorative accent hand finished in Hand Wrought Iron reminiscent of old world castles. Multiple candlelight fixtures are offered in a variety of finishes and styles. Handcrafted in our 180,000 square foot manufacturing facility in Yorkville, New York. Fixture designs, metal finishes and sconce sizes can be customized to meet your needs. UL and cUL listed for dry and damp locations.",https://2ndave.com/product/3-wide-primitive-wall-sconce-110212/,https://2ndave.com/wp-content/uploads/2023/02/110212.jpg,1261
30.5″ Wide Paper Meringue Southland Flushmount | 245493,"A mouthwatering celebration of modern elegance in fine lighting. A delicious touch of White Paper Swirls like Frosted Topping on a Lemon Meringue Pie is enhanced with a White Powder Coat finish. The Paper Meringue Southland Flushmount is featured in our American designed, handcrafted Southland Lighting Collection. UL and cUL listed for dry and damp locations. This stunning fixture is featured at the Southland Casino in West Memphis, Arkansas.",https://2ndave.com/product/30-5-wide-paper-meringue-southland-flushmount-245493/,https://2ndave.com/wp-content/uploads/2023/02/245493.jpg,1261
30″ High Sophia Table Lamp | 188899,"Push the envelope with a cool, contemporary design with an arc-like profile and a warm Hazelnut Acacia Glossy finish. An Off-White Textrene shade with a Statuario Idalight bottom diffuser crowns this unique lamp base while beautiful ambient illumination is delivered. Perfect for living rooms, lobbies, guest suites, and other residential, hospitality, and commercial spaces. This Sophia Crinkle Table Lamp is included in our American-made, American-designed, handcrafted Modern Lighting Collection. Manufactured in Yorkville, NY. UL and cUL listed for dry locations.",https://2ndave.com/product/30-high-sophia-table-lamp-188899/,https://2ndave.com/wp-content/uploads/2022/12/188899.jpg,1261
30″ Square Kitzi Flushmount | 245563,"A sophisticated architectural style flush mount is designed with a pizazz that is unique, fresh, and stylish. Give your decor an extra edge with this breathtaking Kitzi Flushmount which is highlighted with a steel structure finished in Timeless Bronze. The frame surrounds an Off-White Textrene round shade with a Statuario Idalight bottom diffuser. Handcrafted by highly skilled artisans in our 180,000 square foot manufacturing facility in Yorkville, New York. UL and cUL listed for dry and damp locations however we do not recommend installing it in spaces that experience a large amount of moisture due to the fabric shade.",https://2ndave.com/product/30-square-kitzi-flushmount-245563/,https://2ndave.com/wp-content/uploads/2022/12/245563.jpg,1261
30″ Square Madeline Pendant | 144668,"Expert craftsmanship and a distinctive elegance come to light with a stunning classic lantern design that entices all to see. The exquisite Rainstone Idalight lens reveals 10 Ivory faux candlelights. This indoor/outdoor pendant is enhanced with an Antique Iron Gate finish. Custom crafted in our 180,000 square foot manufacturing facility in Yorkville, NY. Lantern styles, metal finishes and sizes can be customized. UL and cUL listed for dry, damp and wet locations.",https://2ndave.com/product/30-square-madeline-pendant-144668/,https://2ndave.com/wp-content/uploads/2022/12/144670.jpg,1261
