name,description,link_url,image_url,manufacturer_id
8″ Bola Mini Pendant | 190234,"A cool contemporary look. A Crystal Idalight orb reveals a Medium Base A19 Edison lamp in a chic pendant. The design is enhanced with a Textured Black finish. Install a group of these mini pendants over an island, bar or table in a variety of rooms in residential, hospitality and commercial settings. The overall height ranges from 12 to 107 inches as the cord length can be easily adjusted in the field to accommodate your specific lighting application needs. Handcrafted by master artisans in our 180,000 square foot manufacturing facility in Yorkville, New York. Fixture designs, metal finishes and sizes can be customized to meet your needs. UL and cUL listed for damp and dry locations.",https://2ndave.com/product/8-bola-mini-pendant-190234/,https://2ndave.com/wp-content/uploads/2022/12/190234.jpg,1261
8″ Square Zuvan Mini Pendant | 245259,"The Zuvan Mini Pendant features a geometric shade highlighted with a brilliant Solar inspired design on an Amber Quartz Idalight diffuser with side panels showcasing mosaic patterns on stunning Maduro Idalight. The frame and hardware are featured in a Chestnut finish. Handmade by highly skilled artisans in our Yorkville, NY manufacturing facility, this Grandiose styled pendant is available in custom designs, finishes and sizes. The wall luminaire, which is nearly 33 inches tall, is UL and cUL listed for dry and damp locations.",https://2ndave.com/product/8-square-zuvan-mini-pendant-245259/,https://2ndave.com/wp-content/uploads/2022/12/245259.jpg,1261
8″ Wide Adiamo Wall Sconce | 121017,"Expert craftsmanship comes to life with the shapely profile and handsome styling of Adiamo. A Clear Seeded Glass lens reveals 2 faux candlelights that match the Pewter premium powder coat finished frame and hardware. This lantern projects beautiful ambient illumination for both interior and exterior applications. The wall luminaire is custom crafted in our 180,000 square foot manufacturing facility. Custom styles, designs, and finishes available. UL and cUL listed for dry, damp and wet locations.",https://2ndave.com/product/8-wide-adiamo-wall-sconce-121017/,https://2ndave.com/wp-content/uploads/2022/12/121017.jpg,1261
8″ Wide Aneila 2 Light Wall Sconce | 223053,"While candlelights are a metaphor for how love brightens our lives, Aneila pairs two Ivory faux candlelights topping miniature bobeches to deliver beautiful ambient illumination. This ADA Compliant wall sconce features Hand-forged Iron Scrollwork in a bold Blackwash finish. Custom crafted in our 180,000 square foot manufacturing facility in Yorkville, NY. Candlelight colors, metal finishes and sconce sizes can be customized. UL and cUL listed for dry and damp locations.",https://2ndave.com/product/8-wide-aneila-2-light-wall-sconce-223053-2/,https://2ndave.com/wp-content/uploads/2022/12/223053.jpg,1261
8″ Wide Aneila 2 Light Wall Sconce | 240495,no description available.,https://2ndave.com/product/8-wide-aneila-2-light-wall-sconce-240495/,https://2ndave.com/wp-content/uploads/2022/12/240495.jpg,1261
8″ Wide Aneila 2 Light Wall Sconce | 255166,no description available.,https://2ndave.com/product/8-wide-aneila-2-light-wall-sconce-255166/,https://2ndave.com/wp-content/uploads/2023/02/255166.jpg,1261
8″ Wide Angelique 1 Light Wall Sconce | 211460,"Rich charm and elegance come to light with Angelique. The wall sconce is designed as a dramatic accent for a hallway, entryway or any other room. This enchanting wall fixture features an Ivory faux candlelight perched on a bobeche with a Hand-Forged Iron scrolled arm and stylized diamond shaped backplate featured in an Antiquity finish. Handcrafted by highly skilled artisans in our 180,000 square foot manufacturing facility in Yorkville, NY. Candlelight colors, metal finishes and fixture sizes can be customized to your needs. UL and cUL listed for dry and damp locations.",https://2ndave.com/product/8-wide-angelique-1-light-wall-sconce-211460/,https://2ndave.com/wp-content/uploads/2022/12/211460.jpg,1261
8″ Wide Angelique Wall Sconce | 162463,"Rich charm and elegance come to light with Angelique, a wall sconce designed as a dramatic accent for a hallway, entryway or any other room. This enchanting wall fixture features a faux Ivory candlelight perched on a bobeche, with a scrolled arm and stylized diamond shaped hardware featured in a Copper Rust Texture finish. Custom crafted by master artisans in our 180,000 square foot manufacturing facility in Yorkville, New York. Custom designs, styles, sizes and dimmable energy efficient lamping options are available. UL and cUL listed for damp and dry locations.",https://2ndave.com/product/8-wide-angelique-wall-sconce-162463/,https://2ndave.com/wp-content/uploads/2022/12/162463X10-1.jpg,1261
8″ Wide Angelique Wall Sconce | 211470,"Rich charm and elegance come to light with Angelique. This wall sconce is designed as a dramatic accent for any other room. The enchanting fixture features an Ivory faux candlelight crowned with a Taos Parchment Shade. The shade is perched on a bobeche, with a Hand Forged Iron scrolled arm & stylized diamond shaped hardware featured in an Antiquity finish. This lovely wall fixture is handcrafted in our 180,000 square foot manufacturing facility in Yorkville, New York. Shades styles and metal finishes can be customized to your needs. UL and cUL listed for damp and dry locations. UL & cUL listed for dry and damp locations, however, we do not recommend installing it in spaces that experience a large amount of moisture due to the fabric shade.",https://2ndave.com/product/8-wide-angelique-wall-sconce-211470/,https://2ndave.com/wp-content/uploads/2022/12/211470.jpg,1261
8″ Wide Audsley Wall Sconce | 220813,"The material is Steel, Brass, and Stainless Steel. The finish is Brushed Brass, Stainless Steel, and White.",https://2ndave.com/product/8-wide-audsley-wall-sconce-220813/,https://2ndave.com/wp-content/uploads/2022/12/220813.jpg,1261
8″ Wide Baretta Wall Sconce | 134245,"The handsome Baretta wall sconce features a windowpane design with a Craftsman styled look. The lantern features an Amber Mica diffuser with hardware, frame and decorative accents featured in a stunning Blackwash finish. Handcrafted at our manufacturing facility in the USA, Baretta is available in custom sizes, styles and colors, as well as dimmable energy efficient lamping options such as LED. The 12-inch tall fixture is UL and cUL listed for damp and dry locations.",https://2ndave.com/product/8-wide-baretta-wall-sconce-134245/,https://2ndave.com/wp-content/uploads/2022/12/134245.jpg,1261
8″ Wide Barfleur Wall Sconce | 190176,"A curved Satin Cream Textrene Shade is complemented with a Statuario Idalight top diffuser and enhanced with a rectangular shaped Mirror doubling as a wallplate. The Barfleur sconce features an exquisite frame and hardware in a Brass finish. The fixture is complemented with a Crystal orb finial and decorative accents. Handmade in our 180,000 square foot manufacturing facility in Yorkville, New York. Available in custom sizes, styles, and shade colors. Dimmable energy efficient lamping options offered. UL and cUL listed for dry and damp locations however we do not recommend installing it in spaces that experience a large amount of moisture due to the shade.",https://2ndave.com/product/8-wide-barfleur-wall-sconce-190176/,https://2ndave.com/wp-content/uploads/2022/12/190176.jpg,1261
8″ Wide Bastille Lantern Wall Sconce | 240365,no description available.,https://2ndave.com/product/8-wide-bastille-lantern-wall-sconce-240365/,https://2ndave.com/wp-content/uploads/2023/05/240365.jpg,1261
8″ Wide Bastille Wall Sconce | 115918,"A brilliant incarnation of a stylized lantern used to illuminate old world fortress paths and alleyways in historic Paris. The graceful scrolled arm, decorative accent and curved header are featured in a Coffee Bean finish for a rich look. The Clear Seeded Glass lens opens from the front for easy lamp replacement (bulbs are supplied by the customer). Handcrafted by highly skilled artisans in our Yorkville, NY manufacturing facility, this wall fixture is available in custom sizes, designs and styles as well as dimmable energy efficient lamping such as LED. The fixture is UL and cUL listed for dry, damp and wet locations.",https://2ndave.com/product/8-wide-bastille-wall-sconce-115918/,https://2ndave.com/wp-content/uploads/2022/12/115918.jpg,1261
8″ Wide Bola Mini Pendant | 234342,"Like a Winter White snowball. A modern White Art Glass globe with soft omnidirectional light is complemented with hardware finished in Flat Black. This neutral hue will complement any decor palette while highlighting a cool architectural element. Made to Order in our 180,000 square foot manufacturing facility in Yorkville, New York. Diffuser colors, metal finishes and pendant sizes can be customized to your needs. UL and cUL listed for dry, damp and wet locations.",https://2ndave.com/product/8-wide-bola-mini-pendant-234342/,https://2ndave.com/wp-content/uploads/2022/12/234342.jpg,1261
8″ Wide Branch Wall Sconce | 118245,"An appealing striking wall sconce design features metal tree branches that appear dramatically stark in the cold winter moonlight. The stunning Amber Mica shade is complemented with a frame and hardware featured in a Rusty Nail finish. Handcrafted in our manufacturing facility at the foothills of the breathtaking Adirondack Mountains in Upstate New York. Custom options include special sizes, finishes and designs, as well as dimmable energy efficient lamping options such as LED. The nature-inspired wall luminaire is UL and cUL listed for dry and damp locations.",https://2ndave.com/product/8-wide-branch-wall-sconce-118245/,https://2ndave.com/wp-content/uploads/2022/12/04-1051-8.jpg,1261
8″ Wide Cardiff Wall Sconce | 232906,The material is Steel and Idalight. The finish is Golden Bronze. The diffuser is Sahara Taupe Idalight.,https://2ndave.com/product/8-wide-cardiff-wall-sconce-232906/,https://2ndave.com/wp-content/uploads/2022/12/232906.jpg,1261
8″ Wide Carousel Wall Sconce | 118184,"A striking transitional styled ceiling fixture for residential, hospitality and commercial applications, the Carousel features a Hand Painted Sable Idalight diffuser which is complemented with hardware and decorative accents in a Gilded Tobacco finish. The pendant will make an impressive design statement in nearly any room throughout your space. Handcrafted in our Yorkville, NY manufacturing facility, Carousel is available in custom sizes, styles, finishes and dimmable energy efficient lamping options such as LED. The fixture is UL and cUL listed for dry and damp locations.",https://2ndave.com/product/8-wide-carousel-wall-sconce-118184/,https://2ndave.com/wp-content/uploads/2022/12/118184.jpg,1261
8″ Wide Cilindro Mosaic Wall Sconce | 193033,"Inspired by a new Modernism, this eye-catching abstract expressionist design integrates a mosaic pattern with abstract figures in a Gold Powdercoat finish that matches the complementary hardware. This artistic sconce is perfect on walls in foyers, lobbies, ballrooms and other spaces in homes, hotels, restaurants, clubs, retailers and other settings. The dramatically styled wall luminaire is custom crafted in our manufacturing facility in the USA. Custom styles, sizes, and colors are available, as well as energy efficient lamping options such as LED. The fixture is UL and cUL listed for dry and damp locations.",https://2ndave.com/product/8-wide-cilindro-mosaic-wall-sconce-193033/,https://2ndave.com/wp-content/uploads/2022/12/193033.jpg,1261
8″ Wide Cilindro Mosaic Wall Sconce | 244130,no description available.,https://2ndave.com/product/8-wide-cilindro-mosaic-wall-sconce-244130/,https://2ndave.com/wp-content/uploads/2022/12/244130.jpg,1261
8″ Wide Cilindro Palomino Mini Pendant | 250004,"Designed with a cone shaped profile and architectural styling, this appealing ceiling fixture defines a sophisticated aesthetic. This pendant features a distinctive Handpainted Parchment shade, which is enhanced with a decorative frame and hardware featured in a Weathered Brass finish. Handcrafted by highly skilled artisans in our manufacturing facility in Upstate New York, this transitional styled pendant is available in a wide range of custom choices including various designs, colors, sizes and dimmable energy efficient lamping options such as LED. This fixture is UL and cUL listed for damp and dry locations.",https://2ndave.com/product/8-wide-cilindro-palomino-mini-pendant-250004/,https://2ndave.com/wp-content/uploads/2022/12/250004.jpg,1261
8″ Wide Cilindro Textrene Table Lamp | 196251,"Casual elegance comes to light with the Cilindro Fixed Mount Table Lamp featuring a Cream Textrene shade that is enhanced with a base in a Timeless Bronze finish. Handmade in our 180,000 square foot manufacturing facility in Yorkville, NY, this lamp mounts directly to a table, counter or bar. Available in custom colors, styles, and finishes, as well as dimmable energy efficient lamping options. The lamp, which is more than 17 inches tall, is UL and cUL listed for dry locations.",https://2ndave.com/product/8-wide-cilindro-textrene-table-lamp-196251-2/,https://2ndave.com/wp-content/uploads/2022/12/196251.jpg,1261
8″ Wide Cilindro Wall Sconce | 255408,"Designed with a curvaceous profile and a clean casual look. This appealing and versatile wall sconce defines an attractive aesthetic. The Fleshtone Idalight lens is enhanced with an Oil Rubbed Bronze finish.The Cilindro Wall Sconce is featured in our American-made, American-designed, handmade Transitional Lighting Collection. Manufactured in Yorkville, NY. UL & cUL listed for dry and damp locations.",https://2ndave.com/product/8-wide-cilindro-wall-sconce-255408/,https://2ndave.com/wp-content/uploads/2023/02/255408.jpg,1261
8″ Wide Dante Mini Pendant | 146547,"Designed with a clean round profile that fits into the homes and other buildings of nearly any architectural era. The Dante ceiling pendant defines a distinctive sophisticated aesthetic. The cylindrical Creme Carrare Idalight shade is enhanced with a crossbar styled accent featured in a Classic Rust finish. Place this mini pendant in multiples on a bar, counter, island or table to create a dramatic design statement. Handcrafted by highly skilled artisans in our 180,000 square foot manufacturing facility in Yorkville, New York. Special sizes, metal finishes and diffuser colors can be customized to meet your needs. UL and cUL listed for dry and damp locations.",https://2ndave.com/product/8-wide-dante-mini-pendant-146547/,https://2ndave.com/wp-content/uploads/2022/12/146547.jpg,1261
8″ Wide Desert Arrow Wall Sconce | 180204,The material is Steel and Mica. The finish is Rusty Nail. The diffuser is Amber Mica.,https://2ndave.com/product/8-wide-desert-arrow-wall-sconce-180204/,https://2ndave.com/wp-content/uploads/2022/12/180204.jpg,1261
8″ Wide Elements Wall Sconce | 164967,"Inspired by distinctive grooved patterns used in European architecture. This impressive sconce features Nickel finished steel channels on the top and bottom that border a stunning band of authentic Polished Copper. This extraordinary wall luminaire design is ideal for hallways and other areas throughout residential and commercial spaces. Handcrafted in our 180,000 square foot manufacturing facility in Yorkville, New York. Metal finishes, designs and sizes can be customized to your needs. UL and cUL listed for dry and damp locations.",https://2ndave.com/product/8-wide-elements-wall-sconce-164967/,https://2ndave.com/wp-content/uploads/2022/12/164967.jpg,1261
